p_nombre_barrio,p_Población edad de 0 a 14 ,p_Población edad de 15 a 29,p_Población edad de 30 a 44 ,p_Población edad de 45 a 64 ,p_Población edad de 65 a 79 ,p_Población edad de 80 y + ,p_Tasa absoluta paro registrado,p_Población sin estudios,p_ Población con estudios superiores,p_rankingvulnerabilidad
San Pascual,0.117334514058003,0.140690723931813,0.196313925171574,0.285975204781935,0.173400487048926,0.086285145007749,0.0746,0.04733768942027,0.306756568886417,0.007278179
San Juan Bautista,0.145741172685595,0.160942652618033,0.195125874688329,0.285771736507681,0.14099573715113,0.071422826349232,0.0516,0.017918825561313,0.482405008635579,0.006521307
Colina,0.145992366412214,0.134064885496183,0.217239185750636,0.275127226463104,0.158555979643766,0.069020356234097,0.0592,0.021676300578035,0.459124690338563,0.006820826
Atalaya,0.163809523809524,0.162539682539683,0.170793650793651,0.277460317460317,0.16,0.065396825396825,0.0401,0.008818342151675,0.488536155202822,0.00597288
Costillares,0.149507243744039,0.173304873064172,0.171851582724011,0.291430128525364,0.154684590580862,0.059221581361551,0.0542,0.019151846785226,0.512809352070638,0.006402223
Palomas,0.196942712971208,0.173345206292668,0.174384090234491,0.309735826654794,0.117839121401009,0.02775304244583,0.0429,0.008115814871682,0.525773195876289,0.005960084
Piovera,0.171092847925015,0.188752292331726,0.174624736806357,0.332337159546288,0.100522991238199,0.032669972152415,0.0386,0.012845656010983,0.548048636987645,0.005739851
Canillas,0.115243557240259,0.140251556846432,0.203165382627317,0.279887759371846,0.182514091613951,0.078937652300194,0.0715,0.050718849840256,0.241244777586631,0.007055953
Pinar del Rey,0.117458009718024,0.140815701878563,0.206240195890883,0.271664689903202,0.175995714886942,0.087825687722386,0.0878,0.06198892112899,0.186182585549507,0.007618157
Apostol Santiago,0.118197891428197,0.165869949577631,0.186497282430751,0.319887368214262,0.13129461070002,0.078252897649139,0.0872,0.057435290137033,0.231009981390628,0.007195958
Valdefuentes,0.262169180617714,0.120503895242831,0.312116691529919,0.23410133156528,0.054754406320791,0.016354494723465,0.0514,0.015976781537941,0.48161402124602,0.006134629
"Villaverde Alto, Casco Histórico de Villaverde",0.153005711189869,0.16998126368541,0.216167407842163,0.286778482584257,0.105871464367141,0.068195670331159,0.1239,0.119252085997929,0.077532127413363,0.010347142
San Cristóbal,0.182475158084914,0.191056910569106,0.236353077816492,0.252677764872887,0.065363272680346,0.072073815976255,0.1377,0.125046142488003,0.048172757475083,0.011819176
Butarque,0.240694109918984,0.133512152397635,0.306218524195314,0.233742062623166,0.064593825268229,0.021239325596672,0.0865,0.056999025657681,0.130886651510231,0.009066352
